model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,score_base,score_causal,score_corr,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,delta_wf1_vs_base,delta_loc_vs_base,delta_joint_vs_base,bucket
openai-gpt-oss-20b,GAIA_dedup,85c14ced5177cdad83f1f1f898a1c6c7,0.4,0.25,0.0,0.42857142857142855,0.25,0.0,0.6666666666666666,0.25,0.0,0.65,0.6785714285714286,0.9166666666666666,0.23809523809523803,0.2666666666666666,0.23809523809523808,0.0,0.0,0.2666666666666666,0.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,f39aec9b8a61fd2aaed5849cc00bc165,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,911e853f02d03e976dbf0c16f653ab57,0.6666666666666666,0.0,0.0,0.2222222222222222,1.0,0.0,0.25,1.0,0.16666666666666666,0.6666666666666666,1.2222222222222223,1.4166666666666667,0.19444444444444442,0.7500000000000001,0.02777777777777779,0.0,0.16666666666666666,-0.41666666666666663,1.0,0.16666666666666666,working
openai-gpt-oss-20b,GAIA_dedup,f75d18151ad96809e922a80ebe2a171e,0.5,0.0,0.0,0.2857142857142857,0.5,0.0,0.4444444444444444,0.5,0.0,0.5,0.7857142857142857,0.9444444444444444,0.15873015873015872,0.4444444444444444,0.15873015873015872,0.0,0.0,-0.05555555555555558,0.5,0.0,working
openai-gpt-oss-20b,GAIA_dedup,a041b8d88e3fedcc7d387da328f8a3b4,0.5,0.0,0.0,0.5714285714285714,0.3333333333333333,0.5,0.6,0.6666666666666666,0.25,0.5,1.4047619047619047,1.5166666666666666,0.11190476190476195,1.0166666666666666,0.02857142857142858,0.3333333333333333,-0.25,0.09999999999999998,0.6666666666666666,0.25,working
openai-gpt-oss-20b,GAIA_dedup,96be1bf61f2915e52ec59173b9bd9828,0.75,0.0,0.0,0.4444444444444444,0.5,0.2,0.7272727272727273,0.5,0.0,0.75,1.1444444444444444,1.2272727272727273,0.08282828282828292,0.4772727272727273,0.2828282828282829,0.0,-0.2,-0.022727272727272707,0.5,0.0,working
openai-gpt-oss-20b,SWE_Bench_dedup,72822db6e120878d916b515c2501246b,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.4,0.06666666666666671,0.4,0.06666666666666671,0.0,0.0,0.4,0.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,88e4ce6a659df42a4146331fff36417c,0.5,0.25,0.14285714285714285,0.4444444444444444,0.5,0.0,0.6,0.25,0.14285714285714285,0.8928571428571428,0.9444444444444444,0.9928571428571429,0.04841269841269846,0.10000000000000009,0.15555555555555556,-0.25,0.14285714285714285,0.09999999999999998,0.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,1427b326e21963a1228647ad8dff2bf4,0.6666666666666666,0.0,0.0,1.0,1.0,0.25,0.5454545454545454,1.0,0.75,0.6666666666666666,2.25,2.2954545454545454,0.045454545454545414,1.628787878787879,-0.4545454545454546,0.0,0.5,-0.12121212121212122,1.0,0.75,working
openai-gpt-oss-20b,SWE_Bench_dedup,0e6f7928953ab5a568bae640ce915cc3,0.2857142857142857,0.0,0.0,0.5,0.0,0.0,0.5454545454545454,0.0,0.0,0.2857142857142857,0.5,0.5454545454545454,0.045454545454545414,0.2597402597402597,0.045454545454545414,0.0,0.0,0.2597402597402597,0.0,0.0,working
